,Date,State,Confirmed,Deceased,Recovered,State_Name
6970,25-May-20,PY,8,0,5,Puducherry
6971,25-May-20,RJ,272,4,208,Rajasthan
6972,25-May-20,SK,0,0,0,Sikkim
6973,25-May-20,TG,66,3,72,Telangana
6974,25-May-20,TN,805,7,407,Tamil Nadu
6975,25-May-20,TR,4,0,0,Tripura
6976,25-May-20,TT,6414,150,3012,Total
6977,25-May-20,UN,304,0,0,State Unassigned
6978,25-May-20,UP,229,8,122,Uttar Pradesh
6979,25-May-20,UT,32,1,0,Uttarakhand
6980,25-May-20,WB,149,6,75,West Bengal
6981,25-Sep-20,AN,15,0,25,Andaman and Nicobar Islands
6982,25-Sep-20,AP,7073,48,8695,Andhra Pradesh
6983,25-Sep-20,AR,255,0,159,Arunachal Pradesh
6984,25-Sep-20,AS,1792,17,1571,Assam
6985,25-Sep-20,BR,1632,3,1810,Bihar
6986,25-Sep-20,CH,244,1,335,Chandigarh
6987,25-Sep-20,CT,2942,25,8027,Chhattisgarh
6988,25-Sep-20,DD,0,0,0,Daman and Diu
6989,25-Sep-20,DL,3827,24,4061,Delhi
6990,25-Sep-20,DN,12,0,19,Dadra and Nagar Haveli and Daman and Diu
6991,25-Sep-20,GA,519,3,724,Goa
6992,25-Sep-20,GJ,1442,12,1279,Gujarat
6993,25-Sep-20,HP,293,7,296,Himachal Pradesh
6994,25-Sep-20,HR,2024,18,2863,Haryana
6995,25-Sep-20,JH,1271,9,1570,Jharkhand
6996,25-Sep-20,JK,1218,21,1478,Jammu and Kashmir
6997,25-Sep-20,KA,8655,86,5644,Karnataka
6998,25-Sep-20,KL,6477,22,3481,Kerala
6999,25-Sep-20,LA,56,2,78,Ladakh
7000,25-Sep-20,LD,0,0,0,Lakshadweep
7001,25-Sep-20,MH,17794,416,19592,Maharashtra
7002,25-Sep-20,ML,75,0,285,Meghalaya
7003,25-Sep-20,MN,254,1,233,Manipur
7004,25-Sep-20,MP,2227,30,2743,Madhya Pradesh
